SENDER_WALLET,TRANSACTIONS
0x000000006f457c0f8f560333d9c2877287d92a92,"Polygon,Fantom,BNB Chain,Polygon,Polygon,Gnosis,BNB Chain,Polygon,Polygon,Gnosis,Gnosis,Celo Mainnet,Celo Mainnet,Gnosis,Celo Mainnet,Gnosis,BNB Chain,Optimism,Optimism,Polygon,BNB Chain,Core Blockchain Mainnet,DFK,Klaytn Mainnet Cypress,Arbitrum,Polygon,Arbitrum,Polygon,BNB Chain,Polygon,Polygon,Core Blockchain Mainnet,Core Blockchain Mainnet,Polygon,Polygon,BNB Chain,Optimism,Polygon,BNB Chain,Mantle,Polygon,Moonbeam,Polygon,BNB Chain,Celo Mainnet,Polygon,Arbitrum,Avalanche,Linea,Arbitrum,Linea,Arbitrum,Arbitrum,Linea,Base,Linea,Avalanche,Mantle,Ethereum,Manta,Base,Zora,Optimism,Base,zkSync Era Mainnet,Arbitrum Nova,zkSync Era Mainnet,Arbitrum Nova,Arbitrum,Optimism,Linea,Base,Base,Arbitrum,Arbitrum,,Arbitrum,Linea"
0x00000000763e7cd1dbfd125da811281bcf61b013,"Arbitrum,Base,Arbitrum,Base"
0x000000007d905ab8199381328c3fb0a75754b6af,"Ethereum,Polygon,Ethereum,Arbitrum,Arbitrum,Ethereum,Ethereum,Arbitrum,Ethereum,Base,Ethereum,Base,Optimism,Base,Polygon,Kava"
0x0000000080ce2ffc8c5af92d5427aaf7cb786c73,"Arbitrum,Optimism,Optimism,Arbitrum,Arbitrum,Optimism,Arbitrum,Optimism,Optimism,Arbitrum,Arbitrum,Optimism,Optimism,Arbitrum,Arbitrum,Optimism,Optimism,Arbitrum,Arbitrum,Optimism,Optimism,Arbitrum,Arbitrum,Optimism,Optimism,Arbitrum"
0x00000000863b56a3c1f0f1be8bc4f8b7bd78f57a,"Arbitrum,BNB Chain,BNB Chain,Arbitrum,Arbitrum,BNB Chain,Arbitrum,Optimism,Optimism,Base,Optimism,Base,Optimism,Base,Base,Moonbeam"
0x00000000b9d65fbedfe87673e8518452ae74a13b,"Arbitrum,zkSync Era Mainnet"
0x00000000be193a3bfaf4c6627ba14b1f2dbdddad,"Ethereum,Arbitrum,Ethereum,Arbitrum,Ethereum,Base,Base,Ethereum,Ethereum,Arbitrum,Base,Ethereum,Base,Ethereum,Ethereum,Arbitrum,Arbitrum,Ethereum,Arbitrum,Ethereum"
0x00000000c72766932f8426b57629b5a8f39aeb0e,"Arbitrum,Polygon"
0x00000000c9d9c37424bf22ce51ca099fd720a585,"BNB Chain,Arbitrum,Fantom,Polygon,Gnosis,Fuse Mainnet,Fantom,Polygon,Klaytn Mainnet Cypress,Fuse Mainnet,Arbitrum,Zora,BNB Chain,Conflux eSpace,BNB Chain,PGN (Public Goods Network),Fantom,,BNB Chain,Mode"
0x00000000cc0b822819f03424dacf9077fdaa58a3,"Ethereum,Arbitrum,Ethereum,Arbitrum,Optimism,Arbitrum,Optimism,Arbitrum"
